steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
68175	580	90.88330101966858	192.5	200.0	13.591255358583409	200.0	160.0	9.649888	0.57212204	1.287799336463213	-0.006985710430890322	10560	0.19030611247091256
69175	585	92.13877487182617	200.0	200.0	0.0	200.0	200.0	9.528131	0.5873091	0.6747767708450556	-0.0023212271183729173	10720	0.307001854362138
70175	590	93.36601758003235	197.1	200.0	6.045200116161949	200.0	181.0	9.301842	0.5621836	0.9652255707979203	0.0015514282137155534	10880	0.331713682694718
71166	595	94.53869605064392	177.2	195.5	49.05507109361886	200.0	41.0	8.765066	0.55579233	0.5530849159508944	-0.006599263483658433	11040	0.27421966918614327
72133	600	95.75134754180908	195.0	200.0	8.069145624606803	200.0	182.0	9.151191	0.5681827	0.41217902332544326	0.0015072807390242816	11200	0.6737465165256611
73121	605	97.01938247680664	196.1	200.0	8.774331250237188	200.0	174.0	9.282047	0.57777727	0.2705816323682666	-0.0069474677927792074	11360	0.7772222285485803
74121	610	98.31093907356262	199.1	200.0	2.8460498941515415	200.0	191.0	9.763098	0.5804088	0.8958924955129624	-0.004470002055168152	11520	0.4145079080820214
75100	615	99.55868649482727	188.4	189.5	10.57460269807912	200.0	170.0	9.615627	0.55270547	0.9312203028798103	-0.011346065243706106	11680	0.31201193540703476
76027	620	100.83848881721497	189.1	193.5	13.144073442683842	200.0	162.0	9.025968	0.56188226	0.2907059931382537	0.0013391698012128472	11840	0.6889732744841937
77003	625	102.06719374656677	199.7	200.0	0.9486832980505138	200.0	197.0	9.366378	0.57411844	0.10153353864327073	-0.005497759049758315	12000	0.8340332222675826
78003	630	103.29504680633545	196.0	200.0	12.649110640673518	200.0	160.0	9.818486	0.5740508	0.8369874070584774	0.0015848486311733723	12160	0.29092467246646825
79199	636	104.65546989440918	200.0	200.0	0.0	200.0	200.0	9.444855	0.5740339	0.5489916735142469	-0.0004056775011122227	12320	0.6242397285608189
80199	641	105.91394567489624	200.0	200.0	0.0	200.0	200.0	9.845756	0.57196766	1.0661467705667018	-0.0035465970542281865	12480	0.07989174807391364
81199	646	107.15629768371582	200.0	200.0	0.0	200.0	200.0	9.658831	0.5574485	1.1766092945635318	-0.0009381926432251931	12640	0.12121535664012406
82182	651	108.418301820755	197.1	200.0	6.4713041790490555	200.0	181.0	9.272113	0.5498031	0.9098103293403983	-0.003565855659544468	12800	0.15957569895783763
83182	656	109.65612983703613	199.6	200.0	1.2649110640673518	200.0	196.0	9.442316	0.5540706	0.753086165562272	-0.0008370101824402809	12960	0.3491304411193128
